HMM Name	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GH1.hmm	429	avs	472	4.2678219353487454e-148	4	426	2	463	0.986013986013986	dbCAN
GH1.hmm	429	bacb	466	9.187341051961903e-146	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bacp	466	1.3443860057604692e-146	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bacs	466	8.240940773919028e-148	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bafc	466	2.270393764335825e-146	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bama	466	5.791174327583015e-147	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bamb	466	2.9311595610281024e-147	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bamc	466	6.09647581445312e-147	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bamf	466	6.319268992011943e-147	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bami	466	6.319268992011943e-147	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	baml	466	1.200446012497655e-146	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bamn	466	5.544652873818646e-146	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bamp	466	7.136547613662993e-147	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bamt	466	6.09647581445312e-147	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bamy	466	2.1580652701528646e-147	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bao	466	1.1720932300978488e-145	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	baq	466	6.319268992011943e-147	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bay	466	6.09647581445312e-147	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	baz	466	1.1720932300978488e-145	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bmp	466	2.9311595610281024e-147	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bql	466	1.1720932300978488e-145	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bqy	466	1.3549496154963078e-146	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bsia	466	8.240940773919028e-148	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bvm	466	3.356099216973962e-147	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bxh	466	1.1720932300978488e-145	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	bya	466	1.3549496154963078e-146	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	cac	474	1.4192446878283198e-159	3	426	2	463	0.9883449883449884	dbCAN
GH1.hmm	429	cae	474	1.4192446878283198e-159	3	426	2	463	0.9883449883449884	dbCAN
GH1.hmm	429	caer	479	6.0865709357012944e-148	4	427	14	476	0.9883449883449884	dbCAN
GH1.hmm	429	caer_1	469	9.804224167857332e-141	4	426	2	464	0.986013986013986	dbCAN
GH1.hmm	429	carn	473	5.844401544679614e-147	4	426	3	464	0.986013986013986	dbCAN
GH1.hmm	429	caun	475	1.4320067796466227e-160	2	427	2	465	0.993006993006993	dbCAN
GH1.hmm	429	cay	474	1.4192446878283198e-159	3	426	2	463	0.9883449883449884	dbCAN
GH1.hmm	429	cbv	466	2.0895673972049427e-157	4	427	2	463	0.9883449883449884	dbCAN
GH1.hmm	429	cfb	475	2.7154424409759097e-161	2	427	2	465	0.993006993006993	dbCAN
GH1.hmm	429	cmit	466	3.6129409734923827e-152	4	427	2	464	0.9883449883449884	dbCAN
GH1.hmm	429	cpab	473	2.6859052789420724e-148	4	427	3	469	0.9883449883449884	dbCAN
GH1.hmm	429	cpab_1	475	1.1856257640064231e-148	3	424	8	471	0.9836829836829836	dbCAN
GH1.hmm	429	cpab_2	476	9.024944349133545e-147	3	425	9	473	0.986013986013986	dbCAN
GH1.hmm	429	crw	475	1.4320067796466227e-160	2	427	2	465	0.993006993006993	dbCAN
GH1.hmm	429	csb	475	1.6352179418041834e-159	3	427	2	465	0.9906759906759908	dbCAN
GH1.hmm	429	cstc	443	8.559268934870184e-131	46	426	15	439	0.8881118881118881	dbCAN
GH1.hmm	429	cvd	467	4.184855568165162e-146	4	428	3	465	0.9906759906759908	dbCAN
GH1.hmm	429	dpm	474	3.226333876876335e-147	4	427	3	464	0.9883449883449884	dbCAN
GH1.hmm	429	dst	474	1.0042035270849215e-145	4	427	3	464	0.9883449883449884	dbCAN
GH1.hmm	429	eat	474	4.132161828107403e-159	3	427	2	465	0.9906759906759908	dbCAN
GH1.hmm	429	eav	466	2.440459821580161e-146	3	427	2	463	0.9906759906759908	dbCAN
GH1.hmm	429	ebm	467	1.9988991203532645e-149	4	427	2	463	0.9883449883449884	dbCAN
GH1.hmm	429	ecas	466	6.792365517810658e-146	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	ecec	468	1.3931666813639936e-145	2	427	2	465	0.993006993006993	dbCAN
GH1.hmm	429	ede	466	7.614558401336713e-147	3	427	2	463	0.9906759906759908	dbCAN
GH1.hmm	429	eds	467	7.369797389803413e-151	4	427	3	464	0.9883449883449884	dbCAN
GH1.hmm	429	eds_1	466	6.154477581949399e-147	3	426	2	462	0.9883449883449884	dbCAN
GH1.hmm	429	edu	468	1.699063051912122e-147	1	427	1	465	0.9953379953379954	dbCAN
GH1.hmm	429	eet	477	6.694148368537104e-150	3	427	4	470	0.9906759906759908	dbCAN
GH1.hmm	429	efau	466	1.3976232914308878e-146	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	efau_1	468	1.699063051912122e-147	1	427	1	465	0.9953379953379954	dbCAN
GH1.hmm	429	efc	466	1.3976232914308878e-146	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	efd	468	1.699063051912122e-147	1	427	1	465	0.9953379953379954	dbCAN
GH1.hmm	429	efl	468	1.699063051912122e-147	1	427	1	465	0.9953379953379954	dbCAN
GH1.hmm	429	efm	468	1.699063051912122e-147	1	427	1	465	0.9953379953379954	dbCAN
GH1.hmm	429	efm_1	466	1.3976232914308878e-146	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	efn	468	1.699063051912122e-147	1	427	1	465	0.9953379953379954	dbCAN
GH1.hmm	429	efs	468	1.699063051912122e-147	1	427	1	465	0.9953379953379954	dbCAN
GH1.hmm	429	eft	466	1.3976232914308878e-146	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	eft_1	467	3.8550604251302943e-150	3	426	2	463	0.9883449883449884	dbCAN
GH1.hmm	429	efu	466	1.3976232914308878e-146	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	egv	468	1.995214479182892e-147	1	427	1	465	0.9953379953379954	dbCAN
GH1.hmm	429	elac	467	1.8176396191372505e-150	3	426	2	463	0.9883449883449884	dbCAN
GH1.hmm	429	emm	474	1.4592054168151674e-159	3	427	2	465	0.9906759906759908	dbCAN
GH1.hmm	429	ems	466	2.805113433850104e-147	3	426	2	462	0.9883449883449884	dbCAN
GH1.hmm	429	ems_1	468	1.995214479182892e-147	1	427	1	465	0.9953379953379954	dbCAN
GH1.hmm	429	emu	466	7.758938543025781e-148	4	427	3	463	0.9883449883449884	dbCAN
GH1.hmm	429	enem	477	2.051075541960765e-148	2	424	3	467	0.986013986013986	dbCAN
GH1.hmm	429	enq	468	3.113847215924714e-147	3	427	3	465	0.9906759906759908	dbCAN
GH1.hmm	429	eraf	467	6.337324535688474e-152	3	426	2	463	0.9883449883449884	dbCAN
GH1.hmm	429	eraf_1	466	4.218054412501744e-148	3	423	2	459	0.9813519813519812	dbCAN
GH1.hmm	429	erm	470	1.0593503930159992e-150	4	427	2	463	0.9883449883449884	dbCAN
GH1.hmm	429	esg	469	2.1284467229546512e-147	3	426	5	465	0.9883449883449884	dbCAN
GH1.hmm	429	fit	467	3.625037492830918e-149	4	427	2	464	0.9883449883449884	dbCAN
GH1.hmm	429	fro	466	6.134693596180668e-151	3	427	2	463	0.9906759906759908	dbCAN
GH1.hmm	429	hov	467	3.2405896897927625e-144	3	426	2	463	0.9883449883449884	dbCAN
GH1.hmm	429	laca	472	1.1287581921789385e-147	3	425	8	469	0.986013986013986	dbCAN
GH1.hmm	429	laca_1	469	1.713912513497361e-151	4	427	2	466	0.9883449883449884	dbCAN
GH1.hmm	429	lach	474	1.7067259151018304e-147	3	426	8	470	0.9883449883449884	dbCAN
GH1.hmm	429	lah	292	1.2974088399048328e-65	199	424	20	287	0.5268065268065268	dbCAN
GH1.hmm	429	lala	467	7.813696286411636e-149	1	428	1	466	0.9976689976689976	dbCAN
GH1.hmm	429	lalw	476	1.255062836268287e-145	3	425	9	473	0.986013986013986	dbCAN
